City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,butte,39.6499,-121.5677,5.01,60,0,2.06,US,1676647057
299,auki,-8.7676,160.7034,26.27,88,99,1.98,SB,1676646965
300,southbridge,42.0751,-72.0334,14.06,95,100,4.02,US,1676647058
301,maun,-19.9833,23.4167,25.43,74,78,4.13,BW,1676647058
302,comodoro rivadavia,-45.8667,-67.5,13.92,26,0,1.03,AR,1676646879
303,san quintin,30.4833,-115.95,11.25,45,100,0.26,MX,1676647058
304,port said,31.2565,32.2841,15.07,59,0,6.65,EG,1676647059
305,sambava,-14.2667,50.1667,26.74,80,87,2.54,MG,1676647059
306,adrar,20.5022,-10.0711,33.21,9,15,4.86,MR,1676647059
307,ruwi,23.5996,58.5507,26.83,47,0,1.24,OM,1676647060
308,broome,42.2506,-75.833,6.31,84,100,6.17,US,1676647060
309,la rioja,42.25,-2.5,10.88,42,0,3.33,ES,1676647061
310,san jeronimo,-11.9472,-75.2829,12.53,68,100,0.94,PE,1676647061
311,champerico,14.3,-91.9167,28.3,64,0,3.87,GT,1676647061
312,puerto leguizamo,-0.1934,-74.7819,28.97,62,52,2.54,CO,1676647063
313,bayir,37.2687,28.2167,11.29,63,6,1.98,TR,1676647063
314,raudeberg,61.9875,5.1352,3.81,55,100,11.11,NO,1676647064
315,muros,42.7762,-9.0603,23.16,58,6,2.32,ES,1676647065
316,mandal,25.45,74.5667,22.99,20,0,1.32,IN,1676647066
317,veraval,20.9,70.3667,25.33,55,0,3.09,IN,1676647066
318,beringovskiy,63.05,179.3167,-25.19,99,100,8.49,RU,1676647067
319,trapani,37.8333,12.6667,14.38,68,38,2.8,IT,1676646796
320,pizhma,57.8642,47.1171,-5.79,95,100,2.53,RU,1676647069
321,zonguldak,41.25,31.8333,4.0,78,56,1.24,TR,1676646921
322,cap malheureux,-19.9842,57.6142,26.37,68,74,0.45,MU,1676647071
323,maniitsoq,65.4167,-52.9,-9.59,70,100,2.99,GL,1676647071
324,bonavista,48.6499,-53.1147,-0.8,77,96,7.03,CA,1676647072
325,boyolangu,-8.1181,111.8935,24.53,90,97,2.02,ID,1676647072
